7016 20 AVENUE,11204,1
422 EAST 26 STREET,11226,15
30 BAY 29 STREET,11214,3
2262 CHURCH AVENUE,11226,4
516 BAINBRIDGE STREET,11233,2
1014 EAST 100 STREET,11236,3
368 LAFAYETTE AVENUE,11238,8
1244 DEAN STREET,N/A,1
181 BAY 46 STREET,11214,3
1525 EAST 26 STREET,11229,25
6005 FT HAMILTON PARKWAY,11219,1
265 56 STREET,11220,1
2268 CHURCH AVENUE,11226,2
306 TROUTMAN STREET,11237,2
4423 5 AVENUE,11220,1
2455 GERRITSEN AVENUE,11229,13
719 EAST 102 STREET,11236,2
71 HART STREET,11206,1
361 SUMPTER STREET,11233,9
1943 BROADWAY,11207,8
21 BAY 31 STREET,11214,1
254 STOCKHOLM STREET,11237,1
486 AUTUMN AVENUE,11208,2
1820 CORTELYOU ROAD,11226,52
226 AUTUMN AVENUE,11208,3
921 EAST 76 STREET,11236,3
1083 MANHATTAN AVENUE,11222,2
15 VAN BUREN STREET,11221,8
134 29 STREET,11232,2
74 ARLINGTON AVENUE,11207,13
314 GROVE STREET,11237,2
315 JEROME STREET,11207,1
274 GRAND STREET,11211,5
300 LINDEN BOULEVARD,11226,97
2153 GERRITSEN AVENUE,11229,2
966 EAST 56 STREET,11234,2
814 MACON STREET,11233,1
1770 EAST 52 STREET,11234,1
34 76 STREET,11209,1
632 73 STREET,11209,5
120 4 PLACE,11231,3
1801 DORCHESTER ROAD,11226,113
1426A LORING AVENUE,11208,6
1390 REMSEN AVENUE,11236,1
8705 5 AVENUE,11209,15
6705 14 AVENUE,11219,1
107 ENGERT AVENUE,11222,2
686 SACKETT STREET,11217,52
768 45 STREET,11220,1
324 MONTGOMERY STREET,11225,67
595 METROPOLITAN AVENUE,11211,1
211 EAST 94 STREET,N/A,1
620 MONROE STREET,11221,1
118 MILLER AVENUE,11207,2
2828 WEST 28 STREET,11224,36
170 SOUTH PORTLAND AVENUE,11217,4
2217 CATON AVENUE,11226,3
